 wl,n
4719.95,5.83E-05
4726.78,5.80E-05
4733.61,5.77E-05
4740.44,5.75E-05
4747.27,5.72E-05
4754.1,5.69E-05
4760.93,5.67E-05
4767.76,5.64E-05
4774.59,5.61E-05
4781.42,5.59E-05
4788.25,5.56E-05
4795.08,5.54E-05
4801.91,5.51E-05
4808.74,5.49E-05
4815.57,5.46E-05
4822.4,5.43E-05
4829.23,5.41E-05
4836.07,5.39E-05
4842.9,5.36E-05
4849.73,5.34E-05
4856.56,5.31E-05
4863.39,5.29E-05
4870.22,5.26E-05
4877.05,5.24E-05
4883.88,5.22E-05
4890.71,5.19E-05
4897.54,5.17E-05
4904.37,5.15E-05
4911.2,5.12E-05
4918.03,5.10E-05
4924.86,5.08E-05
4931.69,5.05E-05
4938.52,5.03E-05
4945.36,5.01E-05
4952.19,4.99E-05
4959.02,4.96E-05
4965.85,4.94E-05
4972.68,4.92E-05
4979.51,4.90E-05
4986.34,4.88E-05
4993.17,4.86E-05
5000,4.83E-05
5006.83,4.81E-05
5013.66,4.79E-05
5020.49,4.77E-05
5027.32,4.75E-05
5034.15,4.73E-05
5040.98,4.71E-05
5047.81,4.69E-05
5054.64,4.67E-05
5061.48,4.65E-05
5068.31,4.63E-05
5075.14,4.61E-05
5081.97,4.59E-05
5088.8,4.57E-05
5095.63,4.55E-05
5102.46,4.53E-05
5109.29,4.51E-05
5116.12,4.49E-05
5122.95,4.47E-05
5129.78,4.45E-05
5136.61,4.43E-05
5143.44,4.41E-05
5150.27,4.39E-05
5157.1,4.38E-05
5163.93,4.36E-05
5170.77,4.34E-05
5177.6,4.32E-05
5184.43,4.30E-05
5191.26,4.28E-05
5198.09,4.27E-05
5204.92,4.25E-05
5211.75,4.23E-05
5218.58,4.21E-05
5225.41,4.19E-05
5232.24,4.18E-05
5239.07,4.16E-05
5245.9,4.14E-05
5252.73,4.13E-05
5259.56,4.11E-05
5266.39,4.09E-05
5273.22,4.07E-05
5280.05,4.06E-05
5286.89,4.04E-05
5293.72,4.02E-05
5300.55,4.01E-05
5307.38,3.99E-05
5314.21,3.97E-05
5321.04,3.96E-05
5327.87,3.94E-05
5334.7,3.93E-05
5341.53,3.91E-05
5348.36,3.89E-05
5355.19,3.88E-05
5362.02,3.86E-05
5368.85,3.85E-05
5375.68,3.83E-05
5382.51,3.82E-05
5389.34,3.80E-05
5396.17,3.78E-05
5403.01,3.77E-05
5409.84,3.75E-05
5416.67,3.74E-05
5423.5,3.72E-05
5430.33,3.71E-05
5437.16,3.69E-05
5443.99,3.68E-05
5450.82,3.66E-05
5457.65,3.65E-05
5464.48,3.64E-05
5471.31,3.62E-05
5478.14,3.61E-05
5484.97,3.59E-05
5491.8,3.58E-05
5498.63,3.56E-05
5505.46,3.55E-05
5512.3,3.54E-05
5519.13,3.52E-05
5525.96,3.51E-05
5532.79,3.49E-05
5539.62,3.48E-05
5546.45,3.47E-05
5553.28,3.45E-05
5560.11,3.44E-05
5566.94,3.43E-05
5573.77,3.41E-05
5580.6,3.40E-05
5587.43,3.39E-05
5594.26,3.37E-05
5601.09,3.36E-05
5607.92,3.35E-05
5614.75,3.33E-05
5621.58,3.32E-05
5628.42,3.31E-05
5635.25,3.30E-05
5642.08,3.28E-05
5648.91,3.27E-05
5655.74,3.26E-05
5662.57,3.25E-05
5669.4,3.23E-05
5676.23,3.22E-05
5683.06,3.21E-05
5689.89,3.20E-05
5696.72,3.18E-05
5703.55,3.17E-05
5710.38,3.16E-05
5717.21,3.15E-05
5724.04,3.14E-05
5730.87,3.12E-05
5737.7,3.11E-05
5744.54,3.10E-05
5751.37,3.09E-05
5758.2,3.08E-05
5765.03,3.07E-05
5771.86,3.06E-05
5778.69,3.04E-05
5785.52,3.03E-05
5792.35,3.02E-05
5799.18,3.01E-05
5806.01,3.00E-05
5812.84,2.99E-05
5819.67,2.98E-05
5826.5,2.97E-05
5833.33,2.95E-05
5840.16,2.94E-05
5846.99,2.93E-05
5853.83,2.92E-05
5860.66,2.91E-05
5867.49,2.90E-05
5874.32,2.89E-05
5881.15,2.88E-05
5887.98,2.87E-05
5894.81,2.86E-05
5901.64,2.85E-05
5908.47,2.84E-05
5915.3,2.83E-05
5922.13,2.82E-05
5928.96,2.81E-05
5935.79,2.80E-05
5942.62,2.79E-05
5949.45,2.78E-05
5956.28,2.77E-05
5963.11,2.76E-05
5969.95,2.75E-05
5976.78,2.74E-05
5983.61,2.73E-05
5990.44,2.72E-05
5997.27,2.71E-05
6004.1,2.70E-05
6010.93,2.69E-05
6017.76,2.68E-05
6024.59,2.67E-05
6031.42,2.66E-05
6038.25,2.65E-05
6045.08,2.64E-05
6051.91,2.63E-05
6058.74,2.62E-05
6065.57,2.61E-05
6072.4,2.60E-05
6079.23,2.59E-05
6086.07,2.58E-05
6092.9,2.57E-05
6099.73,2.57E-05
6106.56,2.56E-05
6113.39,2.55E-05
6120.22,2.54E-05
6127.05,2.53E-05
6133.88,2.52E-05
6140.71,2.51E-05
6147.54,2.50E-05
6154.37,2.49E-05
6161.2,2.49E-05
6168.03,2.48E-05
6174.86,2.47E-05
6181.69,2.46E-05
6188.52,2.45E-05
6195.36,2.44E-05
6202.19,2.43E-05
6209.02,2.43E-05
6215.85,2.42E-05
6222.68,2.41E-05
6229.51,2.40E-05
6236.34,2.39E-05
6243.17,2.38E-05
6250,2.38E-05
6256.83,2.37E-05
6263.66,2.36E-05
6270.49,2.35E-05
6277.32,2.34E-05
6284.15,2.34E-05
6290.98,2.33E-05
6297.81,2.32E-05
6304.64,2.31E-05
6311.48,2.30E-05
6318.31,2.30E-05
6325.14,2.29E-05
6331.97,2.28E-05
6338.8,2.27E-05
6345.63,2.27E-05
6352.46,2.26E-05
6359.29,2.25E-05
6366.12,2.24E-05
6372.95,2.24E-05
6379.78,2.23E-05
6386.61,2.22E-05
6393.44,2.21E-05
6400.27,2.21E-05
6407.1,2.20E-05
6413.93,2.19E-05
6420.77,2.18E-05
6427.6,2.18E-05
6434.43,2.17E-05
6441.26,2.16E-05
6448.09,2.15E-05
6454.92,2.15E-05
6461.75,2.14E-05
6468.58,2.13E-05
6475.41,2.13E-05
6482.24,2.12E-05
6489.07,2.11E-05
6495.9,2.11E-05
6502.73,2.10E-05
6509.56,2.09E-05
6516.39,2.08E-05
6523.22,2.08E-05
6530.05,2.07E-05
6536.89,2.06E-05
6543.72,2.06E-05
6550.55,2.05E-05
6557.38,2.04E-05
6564.21,2.04E-05
6571.04,2.03E-05
6577.87,2.02E-05
