wavenumber,n
3397.11,3.47808
3399.92,3.47808
3402.73,3.47808
3405.55,3.47809
3408.36,3.47809
3411.17,3.47809
3413.99,3.47809
3416.8,3.47809
3419.61,3.47809
3422.43,3.47809
3425.24,3.4781
3428.05,3.4781
3430.87,3.4781
3433.68,3.4781
3436.5,3.4781
3439.31,3.4781
3442.12,3.4781
3444.94,3.47811
3447.75,3.47811
3450.56,3.47811
3453.38,3.47811
3456.19,3.47811
3459,3.47811
3461.82,3.47811
3464.63,3.47812
3467.44,3.47812
3470.26,3.47812
3473.07,3.47812
3475.88,3.47812
3478.7,3.47812
3481.51,3.47813
3484.32,3.47813
3487.14,3.47813
3489.95,3.47813
3492.77,3.47813
3495.58,3.47813
3498.39,3.47813
3501.21,3.47814
3504.02,3.47814
3506.83,3.47814
3509.65,3.47814
3512.46,3.47814
3515.27,3.47814
3518.09,3.47815
3520.9,3.47815
3523.71,3.47815
3526.53,3.47815
3529.34,3.47815
3532.15,3.47815
3534.97,3.47815
3537.78,3.47816
3540.59,3.47816
3543.41,3.47816
3546.22,3.47816
3549.04,3.47816
3551.85,3.47816
3554.66,3.47817
3557.48,3.47817
3560.29,3.47817
3563.1,3.47817
3565.92,3.47817
3568.73,3.47817
3571.54,3.47817
3574.36,3.47818
3577.17,3.47818
3579.98,3.47818
3582.8,3.47818
3585.61,3.47818
3588.42,3.47818
3591.24,3.47819
3594.05,3.47819
3596.86,3.47819
3599.68,3.47819
3602.49,3.47819
3605.31,3.47819
3608.12,3.47819
3610.93,3.4782
3613.75,3.4782
3616.56,3.4782
3619.37,3.4782
3622.19,3.4782
3625,3.4782
3627.81,3.47821
3630.63,3.47821
3633.44,3.47821
3636.25,3.47821
3639.07,3.47821
3641.88,3.47821
3644.69,3.47822
3647.51,3.47822
3650.32,3.47822
3653.14,3.47822
3655.95,3.47822
3658.76,3.47822
3661.58,3.47823
3664.39,3.47823
3667.2,3.47823
3670.02,3.47823
3672.83,3.47823
3675.64,3.47823
3678.46,3.47823
3681.27,3.47824
3684.08,3.47824
3686.9,3.47824
3689.71,3.47824
3692.52,3.47824
3695.34,3.47824
3698.15,3.47825
3700.96,3.47825
3703.78,3.47825
3706.59,3.47825
3709.41,3.47825
3712.22,3.47825
3715.03,3.47826
3717.85,3.47826
3720.66,3.47826
3723.47,3.47826
3726.29,3.47826
3729.1,3.47826
3731.91,3.47827
3734.73,3.47827
3737.54,3.47827
3740.35,3.47827
3743.17,3.47827
3745.98,3.47827
3748.79,3.47828
3751.61,3.47828
3754.42,3.47828
3757.23,3.47828
3760.05,3.47828
3762.86,3.47828
3765.68,3.47829
3768.49,3.47829
3771.3,3.47829
3774.12,3.47829
3776.93,3.47829
3779.74,3.47829
3782.56,3.4783
3785.37,3.4783
3788.18,3.4783
3791,3.4783
3793.81,3.4783
3796.62,3.4783
3799.44,3.47831
3802.25,3.47831
3805.06,3.47831
3807.88,3.47831
3810.69,3.47831
3813.5,3.47831
3816.32,3.47832
3819.13,3.47832
3821.95,3.47832
3824.76,3.47832
3827.57,3.47832
3830.39,3.47832
3833.2,3.47833
3836.01,3.47833
3838.83,3.47833
3841.64,3.47833
3844.45,3.47833
3847.27,3.47833
3850.08,3.47834
3852.89,3.47834
3855.71,3.47834
3858.52,3.47834
3861.33,3.47834
3864.15,3.47834
3866.96,3.47835
3869.77,3.47835
3872.59,3.47835
3875.4,3.47835
3878.22,3.47835
3881.03,3.47835
3883.84,3.47836
3886.66,3.47836
3889.47,3.47836
3892.28,3.47836
3895.1,3.47836
3897.91,3.47836
3900.72,3.47837
3903.54,3.47837
3906.35,3.47837
3909.16,3.47837
3911.98,3.47837
3914.79,3.47837
3917.6,3.47838
3920.42,3.47838
3923.23,3.47838
3926.05,3.47838
3928.86,3.47838
3931.67,3.47839
3934.49,3.47839
3937.3,3.47839
3940.11,3.47839
3942.93,3.47839
3945.74,3.47839
3948.55,3.4784
3951.37,3.4784
3954.18,3.4784
3956.99,3.4784
3959.81,3.4784
3962.62,3.4784
3965.43,3.47841
3968.25,3.47841
3971.06,3.47841
3973.87,3.47841
3976.69,3.47841
3979.5,3.47842
3982.32,3.47842
3985.13,3.47842
3987.94,3.47842
3990.76,3.47842
3993.57,3.47842
3996.38,3.47843
3999.2,3.47843
4002.01,3.47843
4004.82,3.47843
4007.64,3.47843
4010.45,3.47843
4013.26,3.47844
4016.08,3.47844
4018.89,3.47844
4021.7,3.47844
4024.52,3.47844
4027.33,3.47845
4030.14,3.47845
4032.96,3.47845
4035.77,3.47845
4038.59,3.47845
4041.4,3.47845
4044.21,3.47846
4047.03,3.47846
4049.84,3.47846
4052.65,3.47846
4055.47,3.47846
4058.28,3.47847
4061.09,3.47847
4063.91,3.47847
4066.72,3.47847
4069.53,3.47847
4072.35,3.47847
4075.16,3.47848
4077.97,3.47848
4080.79,3.47848
4083.6,3.47848
4086.41,3.47848
4089.23,3.47848
4092.04,3.47849
4094.86,3.47849
4097.67,3.47849
4100.48,3.47849
4103.3,3.47849
4106.11,3.4785
4108.92,3.4785
4111.74,3.4785
4114.55,3.4785
4117.36,3.4785
4120.18,3.47851
4122.99,3.47851
4125.8,3.47851
4128.62,3.47851
4131.43,3.47851
4134.24,3.47851
4137.06,3.47852
4139.87,3.47852
4142.68,3.47852
4145.5,3.47852
4148.31,3.47852
4151.13,3.47853
4153.94,3.47853
4156.75,3.47853
4159.57,3.47853
4162.38,3.47853
4165.19,3.47853
4168.01,3.47854
4170.82,3.47854
4173.63,3.47854
4176.45,3.47854
4179.26,3.47854
4182.07,3.47855
4184.89,3.47855
4187.7,3.47855
4190.51,3.47855
4193.33,3.47855
4196.14,3.47856
4198.95,3.47856
4201.77,3.47856
4204.58,3.47856
4207.4,3.47856
4210.21,3.47856
4213.02,3.47857
4215.84,3.47857
4218.65,3.47857
4221.46,3.47857
4224.28,3.47857
4227.09,3.47858
4229.9,3.47858
4232.72,3.47858
4235.53,3.47858
4238.34,3.47858
4241.16,3.47859
4243.97,3.47859
4246.78,3.47859
4249.6,3.47859
4252.41,3.47859
4255.23,3.47859
4258.04,3.4786
4260.85,3.4786
4263.67,3.4786
4266.48,3.4786
4269.29,3.4786
